,080516,080416,080316,080216,080116,073116,073016,072916,072816,072716,072616,072516,072416,072316,072216,072116,072016,071916,071816,071716,071616,071516,071416,071316,071216,071116,071016,070916,070816,070716,070616,070516,070416,070316,070216,070116,063016,062916,062816,062716,062616,062516,062416,062316,062216,062116,062016,061916,061816
messenger,29256317,-1,29179154,29158064,-1,-1,-1,29000187,28965091,28935114,28893426,28866623,-1,-1,28759636,28722168,28681998,28646027,28606148,-1,-1,28506065,28478862,28439450,28401352,28364366,-1,-1,28246641,-1,28179600,28142758,-1,28092233,28042529,28010361,27956444,27914011,-1,27847756,-1,-1,27716342,27675185,27639407,27600355,27554065,-1,27498432
go security,224916,-1,214534,209427,-1,-1,-1,185337,180797,176959,171466,166946,-1,-1,154697,151193,147327,144999,142146,-1,-1,135203,132543,129510,126688,124425,-1,-1,117813,-1,113350,110904,-1,106879,103506,101352,98497,97395,-1,95427,-1,-1,91353,90228,88855,87486,83378,-1,78369
snapchat,7856978,-1,7830609,7814898,-1,-1,-1,7759750,7745601,7734075,7715341,7700508,-1,-1,7650059,7631795,7613146,7598901,7581400,-1,-1,7534122,7518319,7499572,7478242,7457627,-1,-1,7394084,-1,7363892,7350910,-1,7334619,7315698,7301339,7283091,7272536,-1,7245690,-1,-1,7200015,7187280,7172863,7159379,7148444,-1,7132134
facebook,46203511,-1,46069529,46018776,-1,-1,-1,45803130,45749710,45691573,45633450,45587012,-1,-1,45439573,45380745,45303028,45258311,45198518,-1,-1,45047564,45003309,44933064,44866293,44810299,-1,-1,44635480,-1,44503557,44449489,-1,44369323,44291448,44239626,44138174,44073770,-1,43972389,-1,-1,43755932,43676649,43614012,43550673,43498434,-1,43416153
spotify music,5931160,-1,5916865,5909308,-1,-1,-1,5877553,5869074,5862366,5850889,5842760,-1,-1,5819093,5810471,5802183,5795962,5786943,-1,-1,5762927,5754466,5745215,5735595,5727745,-1,-1,5703611,-1,5688106,5680179,-1,5669628,5658009,5648921,5638506,5629762,-1,5615475,-1,-1,5588681,5580977,5573552,5566644,5559821,-1,5550310
instagram,35593462,-1,35520307,35479443,-1,-1,-1,35316078,35263720,35240324,35196632,35159635,-1,-1,35044542,35005929,34966364,34934542,34886156,-1,-1,34771819,34733725,34694252,34655579,34616137,-1,-1,34491049,-1,34423505,34393671,-1,34338845,34284865,34244989,34201691,34166763,-1,34100887,-1,-1,33983218,33951432,33917988,33885880,33851710,-1,33798919
du cleaner,-1,-1,142968,142637,-1,-1,-1,140132,139370,138860,138078,137348,-1,-1,135141,134320,133747,133420,133038,-1,-1,131789,131576,131104,130655,130247,-1,-1,129040,-1,128372,127964,-1,127335,126694,126311,125700,125381,-1,124762,-1,-1,123497,123217,122860,122434,121984,-1,121222
slither.io,2134407,-1,2120771,2113054,-1,-1,-1,2076612,2067240,2059698,2048359,2038172,-1,-1,2003844,1991972,1980234,1969969,1956117,-1,-1,1916698,1904147,1890216,1876802,1863286,-1,-1,1817049,-1,1790548,1775404,-1,1753693,1728048,1711951,1687723,1671478,-1,1644949,-1,-1,1578769,1562670,1544843,1530865,1509768,-1,1480875
kijiji free local classifieds,80393,-1,80224,80134,-1,-1,-1,79760,79668,79627,79541,79489,-1,-1,79228,79161,79094,79044,78950,-1,-1,78721,78665,78549,78479,78383,-1,-1,78142,-1,77970,77866,-1,77761,77600,77500,77413,77354,-1,77220,-1,-1,76989,76916,76841,76756,76683,-1,76593
netflix,2947883,-1,2941070,2938980,-1,-1,-1,2926786,2923832,2921320,2917519,2914835,-1,-1,2904394,2900935,2897438,2894318,2890266,-1,-1,2879013,2876260,2872233,2867539,2864068,-1,-1,2853563,-1,2846983,2843302,-1,2838588,2830424,2825128,2820201,2816392,-1,2810692,-1,-1,2799600,2797046,2793726,2790224,2785484,-1,2778860
whatsapp messenger,41285576,-1,41211035,41186866,-1,-1,-1,40999081,40946820,40905757,40863019,40835440,-1,-1,40735586,40701364,40667130,40634495,40601457,-1,-1,40514156,40485462,40453036,40421310,40384729,-1,-1,40242700,-1,40134773,40089238,-1,40009368,39958608,39924586,39885596,39853519,-1,39793317,-1,-1,39677086,39634681,39597840,39566781,39535933,-1,39483922
google photos,4604640,-1,4588922,4582995,-1,-1,-1,4545801,4537627,4531008,4520613,4513298,-1,-1,4479574,4469320,4459368,4450885,4439830,-1,-1,4412655,4404028,4393917,4384621,4374813,-1,-1,4344925,-1,4326428,4317516,-1,4303449,4289704,4282278,4269403,4259804,-1,4243088,-1,-1,4212284,4203498,4197031,4189056,4180571,-1,4165544
the weather network,73374,-1,73345,73338,-1,-1,-1,73278,73261,73254,73225,73211,-1,-1,73162,73129,73123,73117,73096,-1,-1,73047,73026,72994,72974,72963,-1,-1,72897,-1,72853,72837,-1,72814,72784,72767,72741,72736,-1,72697,-1,-1,72642,72631,72422,72151,71822,-1,71417
pinterest,2069165,-1,2064115,2062035,-1,-1,-1,2050650,2047561,2045269,2041882,2039576,-1,-1,2030339,2027573,2024817,2022375,2019199,-1,-1,2011156,2008693,2004729,2002001,1999379,-1,-1,1991642,-1,1986823,1984285,-1,1980702,1976765,1974586,1970667,1968255,-1,1964379,-1,-1,1956332,1954152,1951937,1950164,1947391,-1,1943948
the moron test,-1,-1,-1,-1,-1,-1,-1,84976,84914,84847,84742,84674,-1,-1,84236,84063,83914,83764,83544,-1,-1,82793,82598,82282,82042,81793,-1,-1,80943,-1,80433,80150,-1,79687,79156,78900,78482,78203,-1,77711,-1,-1,76644,76415,76233,76000,75723,-1,75253
flipp,25634,-1,25551,25495,-1,-1,-1,25334,25287,25269,25230,25207,-1,-1,25091,25057,25014,24992,24961,-1,-1,24848,24801,24753,24708,24663,-1,-1,24536,-1,24453,24417,-1,24369,24298,24263,24209,24187,-1,24127,-1,-1,23997,23970,23935,23917,23886,-1,23853
nonstop knight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79452,-1,77583
color switch,729615,-1,725596,723334,-1,-1,-1,711373,708647,707029,703080,700773,-1,-1,689926,686066,682651,680711,676375,-1,-1,665208,661873,657459,654165,650751,-1,-1,639445,-1,632248,628688,-1,623486,616904,613012,606374,603037,-1,597952,-1,-1,585259,582131,579700,577202,574397,-1,569428
super-bright led torch,7092550,-1,7085978,7083073,-1,-1,-1,7067103,7063200,7059979,7055342,7051922,-1,-1,7037897,7033373,7028936,7025097,7020435,-1,-1,7007356,7003750,6998139,6993492,6988853,-1,-1,6975246,-1,6966594,6961872,-1,6954798,6947709,6943724,6937682,6933406,-1,6926105,-1,-1,6910948,6907065,6903431,6899377,6895275,-1,6888245
